"ring" "alias"
"888" "CA236" "bird_888"
"889" "CA2360" "bird_889"
"890" "CA2362" "bird_890"
"891" "CA2363" "bird_891"
"892" "CA2365" "bird_892"
"893" "CA2366" "bird_893"
"894" "CA2367" "bird_894"
"895" "CA2368" "bird_895"
"896" "CA2369" "bird_896"
"897" "CA237" "bird_897"
"898" "CA2370" "bird_898"
"899" "CA2371" "bird_899"
"900" "CA2372" "bird_900"
"901" "CA2373" "bird_901"
"902" "CA2374" "bird_902"
"903" "CA2375" "bird_903"
"904" "CA2376" "bird_904"
"905" "CA2377" "bird_905"
"906" "CA2378" "bird_906"
"907" "CA2379" "bird_907"
"908" "CA238" "bird_908"
"909" "CA2380" "bird_909"
"910" "CA2381" "bird_910"
"911" "CA2382" "bird_911"
"912" "CA2383" "bird_912"
"913" "CA2384" "bird_913"
"914" "CA2385" "bird_914"
"915" "CA2386" "bird_915"
"916" "CA2387" "bird_916"
"917" "CA2388" "bird_917"
"918" "CA2389" "bird_918"
"919" "CA239" "bird_919"
"920" "CA2390" "bird_920"
"921" "CA2391" "bird_921"
"922" "CA2392" "bird_922"
"923" "CA2393" "bird_923"
"924" "CA2394" "bird_924"
"925" "CA2395" "bird_925"
"926" "CA2396" "bird_926"
"927" "CA2397" "bird_927"
"928" "CA2398" "bird_928"
"929" "CA2399" "bird_929"
"930" "CA240" "bird_930"
"931" "CA2400" "bird_931"
"932" "CA2401" "bird_932"
"933" "CA2402" "bird_933"
"934" "CA2403" "bird_934"
"935" "CA2404" "bird_935"
"936" "CA2406" "bird_936"
"937" "CA2407" "bird_937"
"938" "CA2408" "bird_938"
"939" "CA2409" "bird_939"
"940" "CA241" "bird_940"
"941" "CA2410" "bird_941"
"942" "CA2411" "bird_942"
"943" "CA2413" "bird_943"
"944" "CA2414" "bird_944"
"945" "CA2415" "bird_945"
"946" "CA2417" "bird_946"
"947" "CA2418" "bird_947"
"948" "CA2419" "bird_948"
"949" "CA242" "bird_949"
"950" "CA2420" "bird_950"
"951" "CA2421" "bird_951"
"952" "CA2422" "bird_952"
"953" "CA2423" "bird_953"
"954" "CA2424" "bird_954"
"955" "CA2425" "bird_955"
"956" "CA2426" "bird_956"
"957" "CA2427" "bird_957"
"958" "CA2428" "bird_958"
"959" "CA2429" "bird_959"
"960" "CA243" "bird_960"
"961" "CA2430" "bird_961"
"962" "CA2431" "bird_962"
"963" "CA2432" "bird_963"
"964" "CA2433" "bird_964"
"965" "CA2434" "bird_965"
"966" "CA2435" "bird_966"
"967" "CA2436" "bird_967"
"968" "CA2437" "bird_968"
"969" "CA2438" "bird_969"
"970" "CA2439" "bird_970"
"971" "CA2440" "bird_971"
"972" "CA2441" "bird_972"
"973" "CA2442" "bird_973"
"974" "CA2443" "bird_974"
"975" "CA2447" "bird_975"
"976" "CA2449" "bird_976"
"977" "CA245" "bird_977"
"978" "CA2450" "bird_978"
"979" "CA2452" "bird_979"
"980" "CA2454" "bird_980"
"981" "CA2455" "bird_981"
"982" "CA2456" "bird_982"
"983" "CA2457" "bird_983"
"984" "CA2458" "bird_984"
"985" "CA2459" "bird_985"
"986" "CA246" "bird_986"
"987" "CA2460" "bird_987"
"988" "CA2462" "bird_988"
"989" "CA2463" "bird_989"
"990" "CA2464" "bird_990"
"991" "CA2465" "bird_991"
"992" "CA2466" "bird_992"
"993" "CA2467" "bird_993"
"994" "CA2468" "bird_994"
"995" "CA2469" "bird_995"
"996" "CA247" "bird_996"
"997" "CA2470" "bird_997"
"998" "CA2471" "bird_998"
"999" "CA2472" "bird_999"
"1000" "CA2473" "bird_1000"
"1001" "CA2474" "bird_1001"
"1002" "CA2475" "bird_1002"
"1003" "CA2476" "bird_1003"
"1004" "CA2477" "bird_1004"
"1005" "CA2478" "bird_1005"
"1006" "CA2479" "bird_1006"
"1007" "CA2481" "bird_1007"
"1008" "CA2482" "bird_1008"
"1009" "CA2483" "bird_1009"
"1010" "CA2484" "bird_1010"
"1011" "CA2485" "bird_1011"
"1012" "CA2486" "bird_1012"
"1013" "CA2487" "bird_1013"
"1014" "CA2488" "bird_1014"
"1015" "CA2489" "bird_1015"
"1016" "CA249" "bird_1016"
"1017" "CA2490" "bird_1017"
"1018" "CA2491" "bird_1018"
"1019" "CA2492" "bird_1019"
"1020" "CA2493" "bird_1020"
"1021" "CA2495" "bird_1021"
"1022" "CA2496" "bird_1022"
"1023" "CA2497" "bird_1023"
"1024" "CA2498" "bird_1024"
"1025" "CA2499" "bird_1025"
"1026" "CA250" "bird_1026"
"1027" "CA2500" "bird_1027"
"1028" "CA2501" "bird_1028"
"1029" "CA2502" "bird_1029"
"1030" "CA2503" "bird_1030"
"1031" "CA2504" "bird_1031"
"1032" "CA2505" "bird_1032"
"1033" "CA2506" "bird_1033"
"1034" "CA2507" "bird_1034"
"1035" "CA2508" "bird_1035"
"1036" "CA2509" "bird_1036"
"1037" "CA251" "bird_1037"
"1038" "CA2511" "bird_1038"
"1039" "CA2512" "bird_1039"
"1040" "CA2513" "bird_1040"
"1041" "CA2514" "bird_1041"
"1042" "CA2515" "bird_1042"
"1043" "CA2516" "bird_1043"
"1044" "CA2517" "bird_1044"
"1045" "CA2518" "bird_1045"
"1046" "CA2519" "bird_1046"
"1047" "CA252" "bird_1047"
"1048" "CA2520" "bird_1048"
"1049" "CA2521" "bird_1049"
"1050" "CA2522" "bird_1050"
"1051" "CA2523" "bird_1051"
"1052" "CA2524" "bird_1052"
"1053" "CA2525" "bird_1053"
"1054" "CA2526" "bird_1054"
"1055" "CA2527" "bird_1055"
"1056" "CA2528" "bird_1056"
"1057" "CA2529" "bird_1057"
"1058" "CA253" "bird_1058"
"1059" "CA2530" "bird_1059"
"1060" "CA2531" "bird_1060"
"1061" "CA2532" "bird_1061"
"1062" "CA2535" "bird_1062"
"1063" "CA2537" "bird_1063"
"1064" "CA2538" "bird_1064"
"1065" "CA2539" "bird_1065"
"1066" "CA254" "bird_1066"
"1067" "CA2541" "bird_1067"
"1068" "CA2542" "bird_1068"
"1069" "CA2543" "bird_1069"
"1070" "CA2544" "bird_1070"
"1071" "CA2545" "bird_1071"
"1072" "CA2546" "bird_1072"
"1073" "CA2547" "bird_1073"
"1074" "CA2548" "bird_1074"
"1075" "CA2549" "bird_1075"
"1076" "CA255" "bird_1076"
"1077" "CA2550" "bird_1077"
"1078" "CA2551" "bird_1078"
"1079" "CA2552" "bird_1079"
"1080" "CA2553" "bird_1080"
"1081" "CA2554" "bird_1081"
"1082" "CA2555" "bird_1082"
"1083" "CA2556" "bird_1083"
"1084" "CA2558" "bird_1084"
"1085" "CA2559" "bird_1085"
"1086" "CA256" "bird_1086"
"1087" "CA2560" "bird_1087"
"1088" "CA2561" "bird_1088"
"1089" "CA2562" "bird_1089"
"1090" "CA2563" "bird_1090"
"1091" "CA2564" "bird_1091"
"1092" "CA2565" "bird_1092"
"1093" "CA2566" "bird_1093"
"1094" "CA2567" "bird_1094"
"1095" "CA2568" "bird_1095"
"1096" "CA2569" "bird_1096"
"1097" "CA257" "bird_1097"
"1098" "CA2570" "bird_1098"
"1099" "CA2571" "bird_1099"
"1100" "CA2572" "bird_1100"
"1101" "CA2573" "bird_1101"
"1102" "CA2574" "bird_1102"
"1103" "CA2575" "bird_1103"
"1104" "CA2576" "bird_1104"
"1105" "CA2578" "bird_1105"
"1106" "CA2579" "bird_1106"
"1107" "CA258" "bird_1107"
"1108" "CA2580" "bird_1108"
"1109" "CA2581" "bird_1109"
"1110" "CA2582" "bird_1110"
"1111" "CA2583" "bird_1111"
"1112" "CA2584" "bird_1112"
"1113" "CA2587" "bird_1113"
"1114" "CA2588" "bird_1114"
"1115" "CA2589" "bird_1115"
"1116" "CA2590" "bird_1116"
"1117" "CA2591" "bird_1117"
"1118" "CA2592" "bird_1118"
"1119" "CA2593" "bird_1119"
"1120" "CA2594" "bird_1120"
"1121" "CA2595" "bird_1121"
"1122" "CA2596" "bird_1122"
"1123" "CA2597" "bird_1123"
"1124" "CA2598" "bird_1124"
"1125" "CA2599" "bird_1125"
"1126" "CA260" "bird_1126"
"1127" "CA261" "bird_1127"
"1128" "CA262" "bird_1128"
"1129" "CA263" "bird_1129"
"1130" "CA264" "bird_1130"
"1131" "CA265" "bird_1131"
"1132" "CA266" "bird_1132"
"1133" "CA267" "bird_1133"
"1134" "CA269" "bird_1134"
"1135" "CA270" "bird_1135"
"1136" "CA271" "bird_1136"
"1137" "CA272" "bird_1137"
"1138" "CA273" "bird_1138"
"1139" "CA274" "bird_1139"
"1140" "CA275" "bird_1140"
"1141" "CA276" "bird_1141"
"1142" "CA277" "bird_1142"
"1143" "CA278" "bird_1143"
"1144" "CA279" "bird_1144"
"1145" "CA280" "bird_1145"
"1146" "CA301" "bird_1146"
"1147" "CA302" "bird_1147"
"1148" "CA303" "bird_1148"
"1149" "CA304" "bird_1149"
"1150" "CA305" "bird_1150"
"1151" "CA306" "bird_1151"
"1152" "CA307" "bird_1152"
"1153" "CA308" "bird_1153"
"1154" "CA309" "bird_1154"
"1155" "CA310" "bird_1155"
"1156" "CA311" "bird_1156"
"1157" "CA312" "bird_1157"
"1158" "CA313" "bird_1158"
"1159" "CA314" "bird_1159"
"1160" "CA315" "bird_1160"
"1161" "CA316" "bird_1161"
"1162" "CA317" "bird_1162"
"1163" "CA318" "bird_1163"
"1164" "CA319" "bird_1164"
"1165" "CA320" "bird_1165"
"1166" "CA3201" "bird_1166"
"1167" "CA3202" "bird_1167"
"1168" "CA3203" "bird_1168"
"1169" "CA3204" "bird_1169"
"1170" "CA3205" "bird_1170"
"1171" "CA3206" "bird_1171"
"1172" "CA3207" "bird_1172"
"1173" "CA3208" "bird_1173"
"1174" "CA3209" "bird_1174"
"1175" "CA321" "bird_1175"
"1176" "CA3210" "bird_1176"
"1177" "CA3211" "bird_1177"
"1178" "CA3212" "bird_1178"
"1179" "CA3213" "bird_1179"
"1180" "CA3214" "bird_1180"
"1181" "CA3215" "bird_1181"
"1182" "CA3216" "bird_1182"
"1183" "CA3217" "bird_1183"
"1184" "CA3218" "bird_1184"
"1185" "CA3219" "bird_1185"
"1186" "CA322" "bird_1186"
"1187" "CA3220" "bird_1187"
"1188" "CA3221" "bird_1188"
"1189" "CA3222" "bird_1189"
"1190" "CA3223" "bird_1190"
"1191" "CA3224" "bird_1191"
"1192" "CA3225" "bird_1192"
"1193" "CA3226" "bird_1193"
"1194" "CA3227" "bird_1194"
"1195" "CA3228" "bird_1195"
"1196" "CA3229" "bird_1196"
"1197" "CA323" "bird_1197"
"1198" "CA3230" "bird_1198"
"1199" "CA3231" "bird_1199"
"1200" "CA3232" "bird_1200"
"1201" "CA3233" "bird_1201"
"1202" "CA3234" "bird_1202"
"1203" "CA3235" "bird_1203"
"1204" "CA3236" "bird_1204"
"1205" "CA3238" "bird_1205"
"1206" "CA3239" "bird_1206"
"1207" "CA324" "bird_1207"
"1208" "CA3240" "bird_1208"
"1209" "CA3241" "bird_1209"
"1210" "CA3242" "bird_1210"
"1211" "CA3243" "bird_1211"
"1212" "CA3244" "bird_1212"
"1213" "CA3245" "bird_1213"
"1214" "CA3246" "bird_1214"
"1215" "CA3247" "bird_1215"
"1216" "CA3248" "bird_1216"
"1217" "CA3249" "bird_1217"
"1218" "CA325" "bird_1218"
"1219" "CA3250" "bird_1219"
"1220" "CA3251" "bird_1220"
"1221" "CA3252" "bird_1221"
"1222" "CA3253" "bird_1222"
"1223" "CA3254" "bird_1223"
"1224" "CA3255" "bird_1224"
"1225" "CA3256" "bird_1225"
"1226" "CA3257" "bird_1226"
"1227" "CA3258" "bird_1227"
"1228" "CA3259" "bird_1228"
"1229" "CA326" "bird_1229"
"1230" "CA3260" "bird_1230"
"1231" "CA3262" "bird_1231"
"1232" "CA3263" "bird_1232"
"1233" "CA3264" "bird_1233"
"1234" "CA3265" "bird_1234"
"1235" "CA3266" "bird_1235"
"1236" "CA327" "bird_1236"
"1237" "CA328" "bird_1237"
"1238" "CA329" "bird_1238"
"1239" "CA3301" "bird_1239"
"1240" "CA3302" "bird_1240"
"1241" "CA3303" "bird_1241"
"1242" "CA3304" "bird_1242"
"1243" "CA3305" "bird_1243"
"1244" "CA3306" "bird_1244"
"1245" "CA3307" "bird_1245"
"1246" "CA3308" "bird_1246"
"1247" "CA3309" "bird_1247"
"1248" "CA3310" "bird_1248"
"1249" "CA3311" "bird_1249"
"1250" "CA3312" "bird_1250"
"1251" "CA3313" "bird_1251"
"1252" "RX.LX|BX.WX" "bird_1252"
"1253" "RX.OX|RX.YX" "bird_1253"
"1254" "RX.WX|RX.GX" "bird_1254"
"1255" "RX.WX|YX.BX" "bird_1255"
"1256" "RX.WX|YX.WX" "bird_1256"
"1257" "RX.YX|RX.GX" "bird_1257"
"1258" "RX.YX|RX.sX" "bird_1258"
"1259" "YX.BX|BX.RX" "bird_1259"
