"ring" "alias"
"208" "CA1259" "bird_208"
"209" "CA126" "bird_209"
"210" "CA1260" "bird_210"
"211" "CA1261" "bird_211"
"212" "CA1262" "bird_212"
"213" "CA1263" "bird_213"
"214" "CA1264" "bird_214"
"215" "CA1265" "bird_215"
"216" "CA1266" "bird_216"
"217" "CA1267" "bird_217"
"218" "CA1268" "bird_218"
"219" "CA1269" "bird_219"
"220" "CA127" "bird_220"
"221" "CA1270" "bird_221"
"222" "CA1271" "bird_222"
"223" "CA1272" "bird_223"
"224" "CA1273" "bird_224"
"225" "CA1274" "bird_225"
"226" "CA1275" "bird_226"
"227" "CA1276" "bird_227"
"228" "CA1278" "bird_228"
"229" "CA1279" "bird_229"
"230" "CA128" "bird_230"
"231" "CA1280" "bird_231"
"232" "CA1281" "bird_232"
"233" "CA1282" "bird_233"
"234" "CA1283" "bird_234"
"235" "CA1284" "bird_235"
"236" "CA1285" "bird_236"
"237" "CA1286" "bird_237"
"238" "CA1287" "bird_238"
"239" "CA1288" "bird_239"
"240" "CA1289" "bird_240"
"241" "CA129" "bird_241"
"242" "CA1290" "bird_242"
"243" "CA1291" "bird_243"
"244" "CA1292" "bird_244"
"245" "CA1293" "bird_245"
"246" "CA1294" "bird_246"
"247" "CA1295" "bird_247"
"248" "CA1296" "bird_248"
"249" "CA1297" "bird_249"
"250" "CA1298" "bird_250"
"251" "CA1299" "bird_251"
"252" "CA130" "bird_252"
"253" "CA1300" "bird_253"
"254" "CA1301" "bird_254"
"255" "CA1302" "bird_255"
"256" "CA1303" "bird_256"
"257" "CA1304" "bird_257"
"258" "CA1305" "bird_258"
"259" "CA1306" "bird_259"
"260" "CA1307" "bird_260"
"261" "CA1308" "bird_261"
"262" "CA1309" "bird_262"
"263" "CA131" "bird_263"
"264" "CA1310" "bird_264"
"265" "CA1311" "bird_265"
"266" "CA1312" "bird_266"
"267" "CA1313" "bird_267"
"268" "CA1314" "bird_268"
"269" "CA1315" "bird_269"
"270" "CA1316" "bird_270"
"271" "CA1317" "bird_271"
"272" "CA1319" "bird_272"
"273" "CA132" "bird_273"
"274" "CA1320" "bird_274"
"275" "CA1321" "bird_275"
"276" "CA1322" "bird_276"
"277" "CA1323" "bird_277"
"278" "CA1324" "bird_278"
"279" "CA1325" "bird_279"
"280" "CA1326" "bird_280"
"281" "CA1327" "bird_281"
"282" "CA1328" "bird_282"
"283" "CA1329" "bird_283"
"284" "CA133" "bird_284"
"285" "CA1330" "bird_285"
"286" "CA1331" "bird_286"
"287" "CA1332" "bird_287"
"288" "CA1334" "bird_288"
"289" "CA1335" "bird_289"
"290" "CA1336" "bird_290"
"291" "CA1337" "bird_291"
"292" "CA1338" "bird_292"
"293" "CA1339" "bird_293"
"294" "CA134" "bird_294"
"295" "CA1340" "bird_295"
"296" "CA1341" "bird_296"
"297" "CA1342" "bird_297"
"298" "CA1343" "bird_298"
"299" "CA1344" "bird_299"
"300" "CA1345" "bird_300"
"301" "CA1346" "bird_301"
"302" "CA1347" "bird_302"
"303" "CA1348" "bird_303"
"304" "CA1349" "bird_304"
"305" "CA135" "bird_305"
"306" "CA1350" "bird_306"
"307" "CA1351" "bird_307"
"308" "CA1352" "bird_308"
"309" "CA1353" "bird_309"
"310" "CA1354" "bird_310"
"311" "CA1355" "bird_311"
"312" "CA1356" "bird_312"
"313" "CA1358" "bird_313"
"314" "CA1359" "bird_314"
"315" "CA136" "bird_315"
"316" "CA1360" "bird_316"
"317" "CA1361" "bird_317"
"318" "CA1362" "bird_318"
"319" "CA1363" "bird_319"
"320" "CA1364" "bird_320"
"321" "CA1365" "bird_321"
"322" "CA1366" "bird_322"
"323" "CA1367" "bird_323"
"324" "CA1368" "bird_324"
"325" "CA1369" "bird_325"
"326" "CA137" "bird_326"
"327" "CA1370" "bird_327"
"328" "CA1371" "bird_328"
"329" "CA1373" "bird_329"
"330" "CA1374" "bird_330"
"331" "CA1375" "bird_331"
"332" "CA1376" "bird_332"
"333" "CA1377" "bird_333"
"334" "CA1378" "bird_334"
"335" "CA1379" "bird_335"
"336" "CA138" "bird_336"
"337" "CA1380" "bird_337"
"338" "CA1381" "bird_338"
"339" "CA1382" "bird_339"
"340" "CA1383" "bird_340"
"341" "CA1384" "bird_341"
"342" "CA1385" "bird_342"
"343" "CA1386" "bird_343"
"344" "CA1387" "bird_344"
"345" "CA1388" "bird_345"
"346" "CA1389" "bird_346"
"347" "CA139" "bird_347"
"348" "CA1390" "bird_348"
"349" "CA1391" "bird_349"
"350" "CA1392" "bird_350"
"351" "CA1393" "bird_351"
"352" "CA1394" "bird_352"
"353" "CA1395" "bird_353"
"354" "CA1396" "bird_354"
"355" "CA1397" "bird_355"
"356" "CA1398" "bird_356"
"357" "CA1399" "bird_357"
"358" "CA140" "bird_358"
"359" "CA1400" "bird_359"
"360" "CA1402" "bird_360"
"361" "CA1403" "bird_361"
"362" "CA1404" "bird_362"
"363" "CA1405" "bird_363"
"364" "CA1406" "bird_364"
"365" "CA1407" "bird_365"
"366" "CA1408" "bird_366"
"367" "CA1409" "bird_367"
"368" "CA141" "bird_368"
"369" "CA1410" "bird_369"
"370" "CA1411" "bird_370"
"371" "CA1412" "bird_371"
"372" "CA1413" "bird_372"
"373" "CA1414" "bird_373"
"374" "CA1415" "bird_374"
"375" "CA1416" "bird_375"
"376" "CA1417" "bird_376"
"377" "CA1418" "bird_377"
"378" "CA142" "bird_378"
"379" "CA1420" "bird_379"
"380" "CA1421" "bird_380"
"381" "CA1422" "bird_381"
"382" "CA1423" "bird_382"
"383" "CA1424" "bird_383"
"384" "CA1425" "bird_384"
"385" "CA1426" "bird_385"
"386" "CA1428" "bird_386"
"387" "CA1429" "bird_387"
"388" "CA143" "bird_388"
"389" "CA1430" "bird_389"
"390" "CA1431" "bird_390"
"391" "CA1432" "bird_391"
"392" "CA1433" "bird_392"
"393" "CA1434" "bird_393"
"394" "CA1435" "bird_394"
"395" "CA1436" "bird_395"
"396" "CA1437" "bird_396"
"397" "CA1438" "bird_397"
"398" "CA1439" "bird_398"
"399" "CA144" "bird_399"
"400" "CA1440" "bird_400"
"401" "CA1441" "bird_401"
"402" "CA1442" "bird_402"
"403" "CA1443" "bird_403"
"404" "CA1444" "bird_404"
"405" "CA1445" "bird_405"
"406" "CA1446" "bird_406"
"407" "CA1447" "bird_407"
"408" "CA1448" "bird_408"
"409" "CA1449" "bird_409"
"410" "CA145" "bird_410"
"411" "CA1450" "bird_411"
"412" "CA1451" "bird_412"
"413" "CA1452" "bird_413"
"414" "CA1453" "bird_414"
"415" "CA1454" "bird_415"
"416" "CA1455" "bird_416"
"417" "CA1456" "bird_417"
"418" "CA1457" "bird_418"
"419" "CA1458" "bird_419"
"420" "CA1459" "bird_420"
"421" "CA146" "bird_421"
"422" "CA1461" "bird_422"
"423" "CA1462" "bird_423"
"424" "CA1463" "bird_424"
"425" "CA1464" "bird_425"
"426" "CA1465" "bird_426"
"427" "CA1466" "bird_427"
"428" "CA1467" "bird_428"
"429" "CA1468" "bird_429"
"430" "CA1469" "bird_430"
"431" "CA147" "bird_431"
"432" "CA1470" "bird_432"
"433" "CA1471" "bird_433"
"434" "CA1472" "bird_434"
"435" "CA1473" "bird_435"
"436" "CA1474" "bird_436"
"437" "CA1476" "bird_437"
"438" "CA1477" "bird_438"
"439" "CA1478" "bird_439"
"440" "CA1479" "bird_440"
"441" "CA148" "bird_441"
"442" "CA1480" "bird_442"
"443" "CA1481" "bird_443"
"444" "CA1482" "bird_444"
"445" "CA1484" "bird_445"
"446" "CA1485" "bird_446"
"447" "CA1486" "bird_447"
"448" "CA1487" "bird_448"
"449" "CA1488" "bird_449"
"450" "CA1489" "bird_450"
"451" "CA149" "bird_451"
"452" "CA1490" "bird_452"
"453" "CA1491" "bird_453"
"454" "CA1492" "bird_454"
"455" "CA1493" "bird_455"
"456" "CA1494" "bird_456"
"457" "CA1495" "bird_457"
"458" "CA1496" "bird_458"
"459" "CA1497" "bird_459"
"460" "CA1498" "bird_460"
"461" "CA1499" "bird_461"
"462" "CA150" "bird_462"
"463" "CA1500" "bird_463"
"464" "CA1501" "bird_464"
"465" "CA1502" "bird_465"
"466" "CA1503" "bird_466"
"467" "CA1504" "bird_467"
"468" "CA1505" "bird_468"
"469" "CA1506" "bird_469"
"470" "CA1507" "bird_470"
"471" "CA1508" "bird_471"
"472" "CA1509" "bird_472"
"473" "CA151" "bird_473"
"474" "CA1510" "bird_474"
"475" "CA1511" "bird_475"
