"brood_ID" "alias"
"178" "2007_A_4" "brood_178"
"179" "2007_A_5" "brood_179"
"180" "2007_A_6" "brood_180"
"181" "2007_A_7" "brood_181"
"182" "2007_A_8" "brood_182"
"183" "2007_A_9" "brood_183"
"184" "2007_B_1" "brood_184"
"185" "2007_B_101" "brood_185"
"186" "2007_B_102" "brood_186"
"187" "2007_B_103" "brood_187"
"188" "2007_B_104" "brood_188"
"189" "2007_B_105" "brood_189"
"190" "2007_B_106" "brood_190"
"191" "2007_B_107" "brood_191"
"192" "2007_B_108" "brood_192"
"193" "2007_B_109" "brood_193"
"194" "2007_B_2" "brood_194"
"195" "2007_B_3" "brood_195"
"196" "2007_B_301" "brood_196"
"197" "2007_B_4" "brood_197"
"198" "2007_B_5" "brood_198"
"199" "2007_B_6" "brood_199"
"200" "2007_B_7" "brood_200"
"201" "2007_B_8" "brood_201"
"202" "2007_B_9" "brood_202"
"203" "2007_C_1" "brood_203"
"204" "2007_C_10" "brood_204"
"205" "2007_C_102" "brood_205"
"206" "2007_C_103" "brood_206"
"207" "2007_C_104" "brood_207"
"208" "2007_C_11" "brood_208"
"209" "2007_C_12" "brood_209"
"210" "2007_C_13" "brood_210"
"211" "2007_C_14" "brood_211"
"212" "2007_C_15" "brood_212"
"213" "2007_C_16" "brood_213"
"214" "2007_C_17" "brood_214"
"215" "2007_C_2" "brood_215"
"216" "2007_C_3" "brood_216"
"217" "2007_C_301" "brood_217"
"218" "2007_C_302" "brood_218"
"219" "2007_C_303" "brood_219"
"220" "2007_C_304" "brood_220"
"221" "2007_C_305" "brood_221"
"222" "2007_C_4" "brood_222"
"223" "2007_C_5" "brood_223"
"224" "2007_C_6" "brood_224"
"225" "2007_C_7" "brood_225"
"226" "2007_C_8" "brood_226"
"227" "2007_D_1" "brood_227"
"228" "2007_D_10" "brood_228"
"229" "2007_D_101" "brood_229"
"230" "2007_D_102" "brood_230"
"231" "2007_D_103" "brood_231"
"232" "2007_D_104" "brood_232"
"233" "2007_D_105" "brood_233"
"234" "2007_D_106" "brood_234"
"235" "2007_D_107" "brood_235"
"236" "2007_D_108" "brood_236"
"237" "2007_D_109" "brood_237"
"238" "2007_D_11" "brood_238"
"239" "2007_D_110" "brood_239"
"240" "2007_D_111" "brood_240"
"241" "2007_D_12" "brood_241"
"242" "2007_D_2" "brood_242"
"243" "2007_D_3" "brood_243"
"244" "2007_D_302" "brood_244"
"245" "2007_D_4" "brood_245"
"246" "2007_D_5" "brood_246"
"247" "2007_D_6" "brood_247"
"248" "2007_D_7" "brood_248"
"249" "2007_D_8" "brood_249"
"250" "2007_D_9" "brood_250"
"251" "2007_E_1" "brood_251"
"252" "2007_E_101" "brood_252"
"253" "2007_E_102" "brood_253"
"254" "2007_E_2" "brood_254"
"255" "2007_E_3" "brood_255"
"256" "2007_E_301" "brood_256"
"257" "2007_E_302" "brood_257"
"258" "2007_E_303" "brood_258"
"259" "2007_E_304" "brood_259"
"260" "2007_E_305" "brood_260"
"261" "2007_E_306" "brood_261"
"262" "2007_E_4" "brood_262"
"263" "2007_F_101" "brood_263"
"264" "2008_A_1" "brood_264"
"265" "2008_A_10" "brood_265"
"266" "2008_A_101" "brood_266"
"267" "2008_A_102" "brood_267"
"268" "2008_A_103" "brood_268"
"269" "2008_A_104" "brood_269"
"270" "2008_A_11" "brood_270"
"271" "2008_A_12" "brood_271"
"272" "2008_A_13" "brood_272"
"273" "2008_A_14" "brood_273"
"274" "2008_A_15" "brood_274"
"275" "2008_A_16" "brood_275"
"276" "2008_A_17" "brood_276"
"277" "2008_A_18" "brood_277"
"278" "2008_A_19" "brood_278"
"279" "2008_A_2" "brood_279"
"280" "2008_A_20" "brood_280"
"281" "2008_A_21" "brood_281"
"282" "2008_A_22" "brood_282"
"283" "2008_A_23" "brood_283"
"284" "2008_A_24" "brood_284"
"285" "2008_A_25" "brood_285"
"286" "2008_A_3" "brood_286"
"287" "2008_A_4" "brood_287"
"288" "2008_A_5" "brood_288"
"289" "2008_A_6" "brood_289"
"290" "2008_A_7" "brood_290"
"291" "2008_A_8" "brood_291"
"292" "2008_A_9" "brood_292"
"293" "2008_B_1" "brood_293"
"294" "2008_B_101" "brood_294"
"295" "2008_B_102" "brood_295"
"296" "2008_B_103" "brood_296"
"297" "2008_B_104" "brood_297"
"298" "2008_B_105" "brood_298"
"299" "2008_B_106" "brood_299"
"300" "2008_B_107" "brood_300"
"301" "2008_B_2" "brood_301"
"302" "2008_B_201" "brood_302"
"303" "2008_B_3" "brood_303"
"304" "2008_B_4" "brood_304"
"305" "2008_C_1" "brood_305"
"306" "2008_C_101" "brood_306"
"307" "2008_C_102" "brood_307"
"308" "2008_C_103" "brood_308"
"309" "2008_C_104" "brood_309"
"310" "2008_C_105" "brood_310"
"311" "2008_C_106" "brood_311"
"312" "2008_C_107" "brood_312"
"313" "2008_C_108" "brood_313"
"314" "2008_C_109" "brood_314"
"315" "2008_C_110" "brood_315"
"316" "2008_C_111" "brood_316"
"317" "2008_C_112" "brood_317"
"318" "2008_C_113" "brood_318"
"319" "2008_C_114" "brood_319"
"320" "2008_C_115" "brood_320"
"321" "2008_D_1" "brood_321"
"322" "2008_D_101" "brood_322"
"323" "2008_D_102" "brood_323"
"324" "2008_D_103" "brood_324"
"325" "2008_D_104" "brood_325"
"326" "2008_D_105" "brood_326"
"327" "2008_D_2" "brood_327"
"328" "2008_D_201" "brood_328"
"329" "2008_D_202" "brood_329"
"330" "2008_D_203" "brood_330"
"331" "2008_D_204" "brood_331"
"332" "2008_D_3" "brood_332"
