"ring"	"ch"	"year"	"day_of_season"	"sex"	"brood_ID"	"clutch_size"
"CA2047"	"11.0.0000000000000000000000"	"2009"	16	"M"	"2009_A_201"	3
"CA2048"	".1........................."	"2009"	16	"M"	"2009_C_1"	3
"CA2049"	"1011100..0...........0.0.00"	"2009"	17	"M"	"2009_B_1"	2
"CA205"	"01000.000000000000000000000"	"2006"	39	"F"	"2006_D_4"	3
"CA2054"	"1.........................."	"2008"	49	"F"	"2008_A_21"	3
"CA2055"	"1.........................."	"2008"	49	"F"	"2008_A_21"	3
"CA2056"	"1.........................."	"2008"	49	"F"	"2008_A_21"	3
"CA2057"	"1.........................."	"2008"	49	"M"	"2008_C_110"	3
"CA2058"	"1.........................."	"2008"	49	"M"	"2008_C_110"	3
"CA206"	"01000.000000100000000000000"	"2006"	39	"F"	"2006_D_4"	3
"CA2061"	"1.........................."	"2008"	53	"M"	"2008_A_23"	3
"CA2062"	"1.........................."	"2008"	53	"F"	"2008_A_23"	3
"CA2063"	"1.00....0.0000..0.........."	"2008"	54	"F"	"2008_C_1"	3
"CA2067"	".1........................."	"2009"	32	"F"	"2009_E_2"	3
"CA2068"	".1111..1.11.11.1..........."	"2009"	32	"F"	"2009_E_2"	3
"CA2069"	".1........................."	"2009"	32	"M"	"2009_E_2"	3
"CA207"	"1000000.000.0..00..0......."	"2006"	40	"M"	"2006_A_104"	3
"CA2070"	"1.1.1......................"	"2009"	34	"M"	"2009_A_101"	3
"CA2071"	"100100.01000.0.00.00.000000"	"2009"	34	"F"	"2009_A_101"	3
"CA2072"	"1.1.1......................"	"2009"	34	"M"	"2009_A_101"	3
"CA2075"	"1.11......................."	"2009"	34	"M"	"2009_C_4"	3
"CA2076"	"1.11......................."	"2009"	34	"M"	"2009_C_4"	3
"CA2077"	"1..1.11...................."	"2009"	36	"F"	"2009_D_102"	3
"CA2078"	"11.1111.111..11..1...1.1.11"	"2009"	36	"F"	"2009_D_102"	3
"CA2079"	"1..1.111..................."	"2009"	36	"F"	"2009_D_102"	3
"CA2080"	"1111100000.0000001000000000"	"2009"	38	"F"	"2009_B_5"	3
"CA2081"	"1.1.1111111................"	"2009"	38	"M"	"2009_B_5"	3
"CA2083"	"1.........................."	"2009"	39	"F"	"2009_D_1"	3
"CA2084"	"..1........................"	"2009"	39	"F"	"2009_C_101"	3
"CA209"	"1000000.000.0..00..0......."	"2006"	40	"F"	"2006_A_104"	3
"CA2090"	"1.........................."	"2009"	49	"M"	"2009_C_104"	3
"CA2091"	"1.111..1111..11.111.1......"	"2009"	49	"F"	"2009_C_104"	3
"CA2092"	"11.11...111.1.1.11.1.1....."	"2009"	49	"M"	"2009_D_110"	3
"CA2093"	"11.11.0011101010110111....."	"2009"	49	"F"	"2009_D_110"	3
"CA2094"	"11.11.0011111010110111....."	"2009"	49	"F"	"2009_D_110"	3
"CA2095"	"1.........................."	"2009"	50	"F"	"2009_D_105"	2
"CA2096"	"1111.11111.11111.1111111..1"	"2009"	44	"M"	"2009_D_105"	2
"CA2099"	"1001111111.111001.0........"	"2009"	54	"F"	"2009_D_6"	3
"CA2100"	"1001111111.111001.0........"	"2009"	54	"M"	"2009_D_6"	3
"CA212"	"1000000000000000000.00.0000"	"2006"	41	"M"	"2006_B_8"	3
"CA213"	"1000000000000000000.00.0000"	"2006"	41	"M"	"2006_B_8"	3
"CA214"	"101.00000000000000000000000"	"2006"	41	"F"	"2006_D_11"	3
"CA215"	"101.00000000000000000000000"	"2006"	41	"M"	"2006_D_11"	3
"CA217"	"0000100.0000000000000000000"	"2006"	37	"F"	"2006_D_114"	3
"CA218"	"100000000000000000000000.00"	"2006"	42	"M"	"2006_C_10"	3
"CA2201"	"1.........................."	"2009"	16	"F"	"2009_A_3"	3
"CA2202"	".1........................."	"2009"	16	"F"	"2009_C_1"	3
"CA2203"	"01.1.1000001000000000000000"	"2009"	16	"M"	"2009_A_201"	3
"CA2214"	"1.1.11111..1.1....11111111."	"2009"	26	"M"	"2009_A_5"	3
"CA2215"	"1..1.11...................."	"2009"	26	"F"	"2009_A_5"	3
"CA2217"	"01011110100000000000000.000"	"2009"	31	"M"	"2009_E_1"	3
"CA222"	"00100000000000000.000......"	"2006"	49	"M"	"2006_C_213"	3
"CA2222"	"1101.1.1010111.....00000000"	"2009"	34	"F"	"2009_A_8"	3
"CA2223"	"1.1111.1......1............"	"2009"	32	"F"	"2009_A_8"	3
"CA2225"	"1.........................."	"2009"	35	"M"	"2009_C_4"	3
"CA2226"	"11.1.111.1................."	"2009"	36	"M"	"2009_D_1"	3
"CA2228"	"1.111111.1................."	"2009"	40	"F"	"2009_D_2"	3
"CA2229"	"1111111111110000.....0.0000"	"2009"	38	"M"	"2009_D_2"	3
"CA223"	"00100000001000000.000......"	"2006"	49	"F"	"2006_C_213"	3
"CA2230"	"1101.1.00.00.00000000000000"	"2009"	42	"F"	"2009_D_101"	3
"CA2231"	"1.....11..................."	"2009"	44	"F"	"2009_B_101"	3
"CA2233"	"1.........................."	"2009"	46	"M"	"2009_D_3"	3
"CA2234"	"1.....11..1111.111........."	"2009"	46	"F"	"2009_D_3"	3
"CA2235"	"1.....11..1111.111.1.1.1..1"	"2009"	46	"F"	"2009_D_3"	3
"CA2237"	"1111...111.1.1.11.........."	"2009"	50	"F"	"2009_D_106"	3
"CA2238"	"101100111101110101010.1...."	"2009"	50	"F"	"2009_D_106"	3
"CA2239"	"10.1111100111111111000000.0"	"2009"	46	"F"	"2009_D_104"	3
"CA224"	"00100000000000000.000......"	"2006"	49	"F"	"2006_C_213"	3
"CA2240"	"0011100111101110101010.0..."	"2009"	49	"M"	"2009_D_104"	3
"CA2241"	"111..1111..11.111.1........"	"2009"	51	"M"	"2009_D_4"	3
"CA2242"	"1.........................."	"2009"	51	"M"	"2009_D_4"	3
"CA2243"	"111...11111.1.11..........."	"2009"	51	"F"	"2009_D_4"	3
"CA2244"	"110.0111101110000000......."	"2009"	51	"M"	"2009_D_103"	3
"CA2245"	"11...1111.111..11.1........"	"2009"	51	"M"	"2009_D_103"	3
"CA2246"	"1.........................."	"2009"	51	"M"	"2009_A_203"	3
"CA2247"	"11000111101010101010.0....."	"2009"	51	"F"	"2009_A_203"	3
"CA2248"	"1..11111...111.......11.1.."	"2009"	46	"M"	"2009_D_104"	3
"CA2249"	".1........................."	"2009"	51	"M"	"2009_D_103"	3
"CA225"	"111001001000000000000......"	"2006"	50	"M"	"2006_D_119"	3
"CA2250"	".10.0111101110011010......."	"2009"	51	"M"	"2009_A_203"	3
"CA2251"	"1000111101110000000.0......"	"2009"	52	"M"	"2009_C_102"	3
"CA2252"	"0111111110111011.0........."	"2009"	55	"F"	"2009_E_6"	3
"CA2253"	"11111.11.11111............."	"2009"	57	"M"	"2009_D_107"	3
"CA2254"	"11110.0...........000......"	"2009"	66	"M"	"2009_D_112"	3
"CA2255"	"11110.0...........000......"	"2009"	66	"F"	"2009_D_112"	3
"CA2256"	".1........................."	"2009"	66	"M"	"2009_D_112"	3
"CA2257"	"1.........................."	"2009"	67	"M"	"2009_D_113"	3
"CA2258"	"1.........................."	"2009"	67	"F"	"2009_D_113"	3
"CA2259"	"111........................"	"2009"	67	"F"	"2009_D_113"	3
"CA2260"	"100.............0.........."	"2009"	70	"M"	"2009_B_6"	3
"CA2261"	"011.............1.........."	"2009"	70	"F"	"2009_B_6"	3
"CA2262"	"001.............1.........."	"2009"	70	"M"	"2009_B_6"	3
"CA2263"	"111000010011.01101000100110"	"2010"	0	"F"	"2010_A_2"	3
"CA2264"	"111000010011.01101000100110"	"2010"	0	"F"	"2010_A_2"	3
"CA2266"	"1010000011.0000101100000100"	"2010"	2	"M"	"2010_A_5"	3
"CA2269"	"0101110101.0110000010001011"	"2010"	2	"F"	"2010_A_27"	3
"CA227"	"1000010000000000000000000.."	"2006"	46	"M"	"2006_D_13"	2
"CA2270"	"0101110101.0110000010001011"	"2010"	2	"F"	"2010_A_27"	3
"CA2271"	"1001111111.111001.0........"	"2009"	54	"M"	"2009_D_6"	3
"CA2272"	".11........................"	"2009"	54	"M"	"2009_C_102"	3
"CA2273"	"1.........................."	"2009"	55	"M"	"2009_E_6"	3
"CA2274"	"1.........................."	"2009"	56	"M"	"2009_D_108"	3
"CA2275"	"1.........................."	"2009"	56	"F"	"2009_D_108"	3
"CA2276"	"1.........................."	"2009"	56	"F"	"2009_D_108"	3
"CA2277"	"11111011011111.0..........."	"2009"	57	"F"	"2009_D_107"	3
"CA2278"	"1.........................."	"2009"	59	"F"	"2009_D_109"	3
"CA2279"	"1.1111111.1001............."	"2009"	59	"F"	"2009_D_109"	3
"CA2280"	"1.1111111.1................"	"2009"	59	"M"	"2009_B_102"	3
"CA2281"	"1.........................."	"2009"	60	"F"	"2009_D_9"	3
"CA2282"	"11........................."	"2009"	59	"M"	"2009_D_109"	3
"CA2283"	"1111111.1.................."	"2009"	61	"M"	"2009_C_103"	2
"CA2284"	"11111.1............11......"	"2009"	66	"M"	"2009_E_9"	3
"CA2285"	"11000...............0......"	"2009"	66	"M"	"2009_E_9"	3
"CA2286"	"1.........................."	"2009"	66	"F"	"2009_E_9"	3
"CA2287"	".111.1............11......."	"2009"	67	"M"	"2009_A_206"	3
"CA2288"	"11111.1............11......"	"2009"	66	"M"	"2009_A_206"	3
"CA2295"	"100..0.011.010.01.110100111"	"2010"	2	"F"	"2010_C_1"	3
"CA2300"	"100..0.111.010.01.110100111"	"2010"	2	"F"	"2010_C_1"	3
"CA2302"	"111110000010000000000000000"	"2009"	25	"M"	"2009_A_4"	3
"CA2303"	"11111111..................."	"2009"	25	"M"	"2009_A_4"	3
"CA2304"	"1.11111.11...1..1.11...1111"	"2009"	26	"M"	"2009_A_6"	3
"CA2305"	"1.11.11..1..1..1.111.1.1111"	"2009"	26	"M"	"2009_A_7"	2
"CA2307"	"01111000000..............0."	"2009"	60	"F"	"2009_D_9"	3
"CA2308"	"100..0.111.010.01.110000000"	"2010"	2	"M"	"2010_C_1"	3
"CA2311"	"0101000100.0110000010001011"	"2010"	2	"M"	"2010_A_27"	3
"CA2314"	"10..0.001.011.10.0100100110"	"2010"	3	"F"	"2010_C_3"	3
"CA2315"	"11..0.000.000.00.0000000000"	"2010"	3	"F"	"2010_C_3"	3
"CA2317"	"01..1.101.110.11.1000000000"	"2010"	3	"M"	"2010_C_4"	3
"CA2318"	"01..1.101.110.11.1001000000"	"2010"	3	"M"	"2010_C_4"	3
"CA232"	"110010000000000000........."	"2006"	53	"M"	"2006_D_21"	3
"CA2328"	"100010110101011110100000000"	"2010"	13	"F"	"2010_A_21"	3
"CA2329"	"100010110101011110101000110"	"2010"	13	"M"	"2010_A_21"	3
"CA2331"	".101.10.000000000000000.0.."	"2010"	12	"M"	"2010_C_2"	3
"CA2332"	".100.10.000000000000000.0.."	"2010"	12	"M"	"2010_C_2"	3
"CA2333"	".101.00.000000000000000.0.."	"2010"	12	"F"	"2010_C_2"	3
"CA2334"	"100100010001001010100111001"	"2010"	14	"F"	"2010_A_11"	3
"CA2336"	"100100010101000010100000000"	"2010"	14	"F"	"2010_A_11"	3
"CA2337"	"100100010101000010100111001"	"2010"	14	"M"	"2010_A_11"	3
"CA2338"	"110000000000000000000000000"	"2010"	17	"F"	"2010_A_29"	3
"CA2339"	"011000000000000000000000000"	"2010"	19	"F"	"2010_A_102"	3
"CA2340"	"010100000000000000000000000"	"2010"	20	"M"	"2010_A_9"	3
"CA2341"	"011000000000000000000000000"	"2010"	20	"F"	"2010_A_13"	3
"CA2342"	"010100000000000000000000000"	"2010"	20	"F"	"2010_A_9"	3
"CA2343"	"101100000000000000000000000"	"2010"	22	"F"	"2010_A_25"	3
"CA2344"	"101000000000000000000000000"	"2010"	22	"F"	"2010_A_25"	3
"CA2345"	"100010000000000000000000000"	"2010"	29	"F"	"2010_A_30"	3
"CA2346"	"100010000000000000000000000"	"2010"	29	"M"	"2010_A_30"	3
"CA2347"	"1101100..0..00..0.........."	"2010"	55	"F"	"2010_A_113"	3
"CA2348"	"1101100..0..00..0.........."	"2010"	55	"F"	"2010_A_113"	3
"CA2350"	"100000..0..00..0..........."	"2010"	56	"M"	"2010_A_113"	3
"CA2351"	"11.11...0....00............"	"2010"	57	"F"	"2010_C_115"	3
"CA2352"	"11.11...0....00............"	"2010"	57	"M"	"2010_C_115"	3
"CA2353"	"10.11...0....00............"	"2010"	57	"F"	"2010_C_115"	3
"CA2357"	"1..0......................."	"2010"	68	"M"	"2010_A_116"	3
"CA2358"	"1..0......................."	"2010"	68	"M"	"2010_A_116"	3
"CA2359"	"11........................."	"2010"	70	"F"	"2010_C_116"	3
"CA236"	"110010000000000000........."	"2006"	53	"M"	"2006_D_21"	3
"CA2360"	"11........................."	"2010"	70	"F"	"2010_C_116"	3
"CA2362"	"01........................."	"2010"	70	"F"	"2010_C_118"	3
"CA2363"	"01........................."	"2010"	70	"F"	"2010_C_118"	3
"CA2365"	"1.........................."	"2010"	71	"F"	"2010_A_31"	3
"CA2366"	"1.........................."	"2010"	71	"F"	"2010_A_31"	3
"CA237"	"11111000000000000.........."	"2006"	54	"F"	"2006_D_17"	3
"CA2374"	"110..0000...0.0...00.0000.0"	"2011"	14	"M"	"2011_B_2"	3
"CA2375"	"111..1000...0.1...00.0010.0"	"2011"	14	"F"	"2011_B_2"	3
"CA2376"	"111..1000...0.0...00.0000.0"	"2011"	14	"F"	"2011_B_2"	3
"CA2377"	"111000000000000.00000.0000."	"2011"	17	"F"	"2011_A_1"	3
"CA2378"	"111000000000000.00000.0000."	"2011"	17	"M"	"2011_A_1"	3
"CA2379"	"111000000000000.00000.0000."	"2011"	17	"F"	"2011_A_1"	3
"CA238"	"11111000000000000.........."	"2006"	54	"M"	"2006_D_17"	3
"CA2380"	"1.........................."	"2011"	18	"F"	"2011_A_2"	3
"CA2381"	"1.1..1.111..1.....1...1.1.."	"2011"	18	"M"	"2011_A_2"	3
"CA2382"	"1.1........................"	"2011"	18	"M"	"2011_A_2"	3
"CA2383"	"1010101110010.01000.0000.00"	"2011"	19	"M"	"2011_A_12"	3
"CA2384"	"1.1.1.111..1...1....1.1..1."	"2011"	19	"F"	"2011_A_12"	3
"CA2385"	"1.........................."	"2011"	19	"M"	"2011_A_12"	3
"CA2386"	"1.........................."	"2011"	20	"F"	"2011_A_102"	3
"CA2387"	"11.1.111........1..1.1..11."	"2011"	20	"F"	"2011_A_102"	3
"CA2388"	"1.........................."	"2011"	20	"M"	"2011_A_102"	3
"CA2389"	"1...............1.........."	"2011"	20	"F"	"2011_B_1"	3
"CA239"	"11111000000000000.........."	"2006"	54	"M"	"2006_D_17"	3
"CA2390"	"11......1......11.....1..1."	"2011"	20	"M"	"2011_B_1"	3
"CA2391"	"1.1.11111.....1..1...1....."	"2011"	19	"M"	"2011_A_7"	2
"CA2392"	"1.1........................"	"2011"	19	"M"	"2011_A_7"	2
"CA2394"	"1.........................."	"2011"	22	"M"	"2011_A_14"	3
"CA2395"	"1.........................."	"2011"	23	"F"	"2011_A_6"	3
"CA2396"	"111.11..1.1..1...1.1..1.1.."	"2011"	23	"M"	"2011_A_6"	3
"CA2397"	"1..11111..1111..1.1..11.1.1"	"2011"	23	"M"	"2011_A_13"	3
"CA2398"	"1.........................."	"2011"	24	"F"	"2011_A_13"	3
"CA2399"	"11.......1..1.....1....1..."	"2011"	24	"M"	"2011_A_10"	3
"CA2401"	"0010000011.0000101100010100"	"2010"	2	"F"	"2010_A_5"	3
"CA2402"	"01..0.001.011.10.1100100110"	"2010"	3	"F"	"2010_C_3"	3
"CA2409"	"0100001.0100000000000000000"	"2010"	5	"F"	"2010_A_28"	3
"CA2410"	"0100110.0100010010101001010"	"2010"	5	"M"	"2010_A_28"	3
"CA2411"	"0110011.0100010100011101010"	"2010"	5	"M"	"2010_A_106"	3
"CA2413"	"0110010.0000000000000000000"	"2010"	5	"F"	"2010_A_106"	3
"CA2414"	"10000.000000000000000000000"	"2010"	7	"M"	"2010_A_22"	3
"CA2415"	"10000.000000011010110101011"	"2010"	7	"F"	"2010_A_22"	3
"CA2417"	"10000.000000000000000000000"	"2010"	7	"F"	"2010_A_105"	2
"CA2418"	"10000.000000000000000000000"	"2010"	7	"F"	"2010_A_105"	2
"CA2419"	"01001.000010110000100000000"	"2010"	7	"F"	"2010_A_18"	3
"CA2420"	"01001.000010110001101101010"	"2010"	7	"M"	"2010_A_18"	3
"CA2421"	"01001.000010110001101101000"	"2010"	7	"F"	"2010_A_18"	3
"CA2425"	"00000001.010001011010000000"	"2010"	4	"M"	"2010_A_23"	2
"CA2426"	"00000001.010001011011010101"	"2010"	4	"M"	"2010_A_23"	2
"CA2428"	"1.0000111001010010010011000"	"2010"	11	"F"	"2010_A_108"	3
"CA2429"	"1.0000111000010010010011000"	"2010"	11	"F"	"2010_A_108"	3
"CA2430"	"1.0100000000000000000000000"	"2010"	11	"F"	"2010_A_16"	3
"CA2431"	"1.0100000000000000000000000"	"2010"	11	"F"	"2010_A_16"	3
"CA2432"	"100010110100000000000000000"	"2010"	14	"F"	"2010_A_17"	3
"CA2433"	"100010110101101010000000000"	"2010"	14	"M"	"2010_A_17"	3
"CA2434"	"110101100110110101010101101"	"2010"	14	"F"	"2010_A_20"	3
"CA2435"	"110101100110110101010101101"	"2010"	14	"F"	"2010_A_20"	3
"CA2436"	"100000000000000000000000000"	"2010"	14	"F"	"2010_A_8"	3
"CA2437"	"100000110101100000000000000"	"2010"	14	"F"	"2010_A_8"	3
"CA2438"	"100010110101101010101010111"	"2010"	14	"F"	"2010_A_8"	3
"CA2439"	"0.0100000000000000000000000"	"2010"	11	"F"	"2010_A_16"	3
"CA2441"	"010101100100000000000000000"	"2010"	14	"F"	"2010_A_20"	3
"CA2442"	"01.01001.1.1.11.1.1..11.111"	"2010"	14	"F"	"2010_D_1"	3
"CA2443"	"01.01001.1.1.11.1.1..11.111"	"2010"	14	"F"	"2010_D_1"	3
"CA2447"	"011000101010010101011010100"	"2010"	15	"M"	"2010_A_7"	3
"CA2449"	"010101101010010101000101111"	"2010"	15	"F"	"2010_A_6"	3
"CA2454"	"110100000000000000000000000"	"2010"	16	"F"	"2010_A_10"	2
"CA2455"	"100010010110101001101000010"	"2010"	16	"F"	"2010_A_3"	3
"CA2456"	"100010011110101001101011010"	"2010"	16	"F"	"2010_A_3"	3
"CA2457"	"100000010110101001101011110"	"2010"	16	"M"	"2010_A_3"	3
"CA2458"	"001010110100000000000000000"	"2010"	14	"F"	"2010_A_4"	3
"CA2459"	"001000000000000000000000000"	"2010"	14	"F"	"2010_A_4"	3
"CA246"	"11001000000.000............"	"2006"	55	"M"	"2006_C_211"	3
"CA2463"	"110000000000000000000000000"	"2010"	17	"F"	"2010_A_29"	3
"CA2464"	"11.11.1...00...0..........."	"2010"	19	"F"	"2010_B_101"	3
"CA2465"	"11.00.0...00...0..........."	"2010"	19	"F"	"2010_B_101"	3
"CA2466"	"11.00.0...00...0..........."	"2010"	19	"F"	"2010_B_101"	3
"CA2467"	"110100010101000000000000000"	"2010"	19	"F"	"2010_A_12"	3
"CA2468"	"110110100101010100000000000"	"2010"	19	"F"	"2010_A_103"	3
"CA2469"	"110110100101010101010011101"	"2010"	19	"F"	"2010_A_103"	3
"CA2470"	"110000000000000000000000000"	"2010"	19	"M"	"2010_A_12"	3
"CA2471"	"110000000000000000000000000"	"2010"	19	"M"	"2010_A_103"	3
"CA2474"	"100100000000000000000000000"	"2010"	20	"M"	"2010_A_101"	3
"CA2475"	"100000000000000000000000000"	"2010"	20	"F"	"2010_A_101"	3
"CA2476"	"011000010000000000000000000"	"2010"	19	"M"	"2010_A_102"	3
"CA2477"	"011000000000000000000000000"	"2010"	19	"F"	"2010_A_102"	3
"CA2478"	"100000110101100000000000000"	"2010"	14	"F"	"2010_A_8"	3
"CA2479"	"10000000000000.0..0..000.00"	"2010"	21	"F"	"2010_C_5"	3
"CA2481"	"001100000000000000000000000"	"2010"	20	"F"	"2010_A_13"	3
"CA2482"	"001101101010111010101000110"	"2010"	20	"F"	"2010_A_13"	3
"CA2483"	"100000000000000000000000000"	"2010"	22	"M"	"2010_A_25"	3
"CA2484"	"101110101001000000000000000"	"2010"	22	"M"	"2010_A_14"	3
"CA2485"	"100110101001000000000000000"	"2010"	22	"F"	"2010_A_14"	3
"CA2488"	"001110101000000000000000000"	"2010"	22	"F"	"2010_A_14"	3
"CA249"	"1001001001.111............."	"2006"	56	"M"	"2006_C_210"	3
"CA2490"	"111000000000000000000000000"	"2010"	25	"M"	"2010_A_104"	3
"CA2491"	"111000000000000000000000000"	"2010"	25	"F"	"2010_A_104"	3
"CA2492"	"011001000000000000000000000"	"2010"	25	"F"	"2010_A_104"	3
"CA2493"	"1100...0....00.0000000....."	"2010"	29	"F"	"2010_E_101"	2
"CA2495"	"1.1..0..000.000..00000.00.0"	"2010"	34	"F"	"2010_C_104"	3
"CA2496"	"1.1..0..000.000..00000.00.0"	"2010"	34	"F"	"2010_C_104"	3
"CA2497"	"1.1..0..000.000..00000.00.0"	"2010"	34	"F"	"2010_C_104"	3
"CA250"	"1001001001.111............."	"2006"	56	"M"	"2006_C_210"	3
"CA2501"	"110000011.00000000000000000"	"2010"	3	"M"	"2010_A_26"	3
"CA2502"	"110000011.00000000000000000"	"2010"	3	"F"	"2010_A_26"	3
"CA2503"	"110000011.00000000000000000"	"2010"	3	"F"	"2010_A_26"	3
"CA2505"	"1100000000000000000000..0.."	"2010"	40	"M"	"2010_A_109"	3
"CA2506"	"1101010110100110101000..1.."	"2010"	40	"F"	"2010_A_109"	3
"CA2507"	"11.1100000.....0..........."	"2010"	41	"F"	"2010_E_102"	3
"CA2508"	"11.1111110.....0..........."	"2010"	41	"F"	"2010_E_102"	3
"CA251"	"1001001001.111............."	"2006"	56	"F"	"2006_C_210"	3
"CA2511"	"1.000..00000.00.00...0....0"	"2010"	44	"F"	"2010_C_114"	2
"CA2513"	".110..10110.11.10...0....00"	"2010"	45	"F"	"2010_C_108"	3
"CA2514"	".110..10110.11.10...0....00"	"2010"	45	"F"	"2010_C_108"	3
"CA2515"	".100..00000.00.00...0....00"	"2010"	45	"M"	"2010_C_108"	3
"CA2516"	"11111.....0................"	"2010"	46	"F"	"2010_E_103"	3
"CA2517"	"11110.....0................"	"2010"	46	"F"	"2010_E_103"	3
"CA2518"	"01000000000000000..0..00..0"	"2010"	45	"M"	"2010_A_110"	3
"CA2519"	"01000000000000000..0..00..0"	"2010"	45	"F"	"2010_A_110"	3
"CA2520"	"110100000000..0..00..0....."	"2010"	50	"M"	"2010_A_112"	3
"CA2521"	"11000000000..0..00..0......"	"2010"	51	"M"	"2010_A_114"	3
"CA2522"	"11000000010..0..01..0......"	"2010"	51	"M"	"2010_A_114"	3
"CA2523"	"11000000000..0..00..0......"	"2010"	51	"F"	"2010_A_114"	3
"CA2525"	"111.00.00...0....00........"	"2010"	53	"M"	"2010_C_111"	3
"CA2527"	"100.00.00...0....00........"	"2010"	53	"F"	"2010_C_111"	3
"CA2528"	"111.00.00...0....00........"	"2010"	53	"F"	"2010_C_111"	3
"CA2530"	"111.01..000.01............."	"2010"	55	"M"	"2010_B_201"	3
"CA2531"	"111.01..000.01............."	"2010"	55	"M"	"2010_B_201"	3
"CA2532"	"111.00..000.00............."	"2010"	55	"F"	"2010_B_201"	3
"CA2537"	"1.........................."	"2011"	20	"F"	"2011_A_5"	3
"CA2538"	"111........................"	"2011"	18	"F"	"2011_A_8"	3
"CA2539"	"111........................"	"2011"	18	"F"	"2011_A_8"	3
"CA254"	"01100000000000............."	"2006"	57	"F"	"2006_D_23"	3
"CA2542"	"111111..1....11..1.1.1..1.."	"2011"	23	"M"	"2011_A_14"	3
"CA2543"	"1.........................."	"2011"	24	"M"	"2011_A_14"	3
"CA2544"	"1.........................."	"2011"	24	"F"	"2011_A_3"	3
"CA2545"	"1..........1..............."	"2011"	24	"M"	"2011_A_3"	3
"CA2546"	"11.11111.....1.11...1.1..1."	"2011"	20	"M"	"2011_A_3"	3
"CA2548"	".1........................."	"2011"	25	"M"	"2011_A_10"	3
"CA2549"	".1........................."	"2011"	25	"F"	"2011_A_10"	3
"CA255"	"01100000000000............."	"2006"	57	"F"	"2006_D_23"	3
"CA2551"	"111....1...1.1..1.1.1..11.1"	"2011"	29	"M"	"2011_C_3"	3
"CA2555"	"1..1111..1.111.111.1..1..1."	"2011"	36	"F"	"2011_A_105"	2
"CA2556"	"1.........................."	"2011"	36	"M"	"2011_A_105"	2
"CA2558"	"1.........................."	"2011"	36	"F"	"2011_A_201"	3
"CA2559"	"1.........................."	"2011"	36	"M"	"2011_A_201"	3
"CA256"	"01100000000000............."	"2006"	57	"M"	"2006_D_23"	3
"CA2560"	"1.........................."	"2011"	36	"F"	"2011_A_106"	3
"CA2561"	"1...1......................"	"2011"	36	"F"	"2011_A_106"	3
"CA2563"	"11.0.0..0.0...0.0.00000000."	"2011"	37	"M"	"2011_B_101"	3
"CA2564"	"11.0.0..0.0...0.0.00000000."	"2011"	37	"F"	"2011_B_101"	3
"CA2565"	"11.0.0..0.0...0.0.00000000."	"2011"	37	"M"	"2011_B_101"	3
"CA2567"	"111.1.1........1.1.1..1..1."	"2011"	36	"F"	"2011_B_201"	3
"CA2568"	"1.........................."	"2011"	38	"M"	"2011_B_201"	3
"CA257"	"1110000000000.............."	"2006"	58	"M"	"2006_D_203"	3
"CA2578"	".1...............1........."	"2011"	44	"F"	"2011_D_2"	3
"CA2579"	"1.........................."	"2011"	46	"M"	"2011_A_108"	3
"CA258"	"1100000000000.............."	"2006"	58	"F"	"2006_D_202"	3
"CA2580"	"11111.1.1.1..11.1....1.1..."	"2011"	45	"M"	"2011_A_108"	3
"CA2588"	"1.........................."	"2011"	56	"F"	"2011_E_2"	3
"CA2589"	"1.1..1....1.1....1........."	"2011"	56	"F"	"2011_E_2"	3
"CA2596"	"1011.1.1.1....1............"	"2011"	59	"M"	"2011_A_301"	3
"CA2597"	"111.1.1.1....1............."	"2011"	60	"F"	"2011_A_301"	3
"CA2598"	"111.1.1.1....1............."	"2011"	60	"F"	"2011_A_301"	3
"CA260"	"1100000000000.............."	"2006"	58	"F"	"2006_D_36"	3
"CA261"	"1100000000000.............."	"2006"	58	"M"	"2006_D_36"	3
"CA263"	"1100000000000.............."	"2006"	58	"M"	"2006_D_202"	3
"CA267"	"00001000000.000............"	"2006"	55	"M"	"2006_C_211"	3
"CA269"	"100000.000................."	"2006"	60	"F"	"2006_C_113"	3
"CA270"	"10000000000................"	"2006"	60	"M"	"2006_D_22"	3
"CA271"	"11100000000................"	"2006"	60	"F"	"2006_D_28"	3
"CA272"	"11100000000................"	"2006"	60	"F"	"2006_D_28"	3
"CA273"	"11100000000................"	"2006"	60	"M"	"2006_D_28"	3
"CA274"	"10100000000................"	"2006"	60	"F"	"2006_D_33"	3
"CA275"	"100000.000................."	"2006"	60	"M"	"2006_C_113"	3
"CA276"	"10101000000................"	"2006"	60	"F"	"2006_D_22"	3
"CA277"	"10100000000................"	"2006"	60	"F"	"2006_D_33"	3
"CA302"	"101.000...................."	"2006"	63	"F"	"2006_C_20"	3
"CA303"	"10000000..................."	"2006"	63	"M"	"2006_D_40"	2
"CA304"	"101.000...................."	"2006"	63	"M"	"2006_C_20"	3
"CA305"	"1100000...................."	"2006"	64	"M"	"2006_D_35"	3
"CA306"	"1100000...................."	"2006"	64	"M"	"2006_D_35"	3
"CA309"	"1101100...................."	"2006"	64	"M"	"2006_D_43"	2
"CA311"	"1100000...................."	"2006"	64	"M"	"2006_D_35"	3
"CA312"	"10100......................"	"2006"	66	"F"	"2006_D_18"	3
"CA313"	"100........................"	"2006"	67	"F"	"2006_C_30"	3
"CA315"	"100........................"	"2006"	67	"F"	"2006_C_30"	3
