"brood_ID"	"clutch_size"
"2007_E_4"	3
"2007_E_5"	2
"2007_E_101"	3
"2007_E_102"	3
"2007_E_103"	1
"2007_E_301"	3
"2007_E_302"	2
"2007_E_303"	3
"2007_E_304"	3
"2007_E_305"	3
"2007_E_306"	3
"2007_F_101"	3
"2008_A_1"	3
"2008_A_2"	3
"2008_A_3"	3
"2008_A_4"	3
"2008_A_5"	3
"2008_A_6"	3
"2008_A_7"	3
"2008_A_8"	3
"2008_A_9"	3
"2008_A_10"	3
"2008_A_11"	3
"2008_A_12"	1
"2008_A_13"	2
"2008_A_14"	3
"2008_A_15"	2
"2008_A_16"	2
"2008_A_17"	2
"2008_A_18"	2
"2008_A_19"	2
"2008_A_20"	3
"2008_A_22"	3
"2008_A_23"	3
"2008_A_24"	3
"2008_A_25"	3
"2008_A_101"	3
"2008_A_102"	3
"2008_A_103"	3
"2008_A_104"	2
"2008_A_21"	3
"2008_B_1"	1
"2008_B_2"	2
"2008_B_3"	3
"2008_B_4"	3
"2008_B_101"	3
"2008_B_102"	3
"2008_B_103"	3
"2008_B_104"	2
"2008_B_105"	3
"2008_B_106"	3
"2008_B_107"	3
"2008_B_201"	3
"2008_C_1"	3
"2008_C_101"	3
"2008_C_102"	3
"2008_C_103"	3
"2008_C_104"	3
"2008_C_105"	1
"2008_C_106"	3
"2008_C_107"	1
"2008_C_108"	3
"2008_C_109"	3
"2008_C_110"	3
"2008_C_111"	3
"2008_C_112"	3
"2008_C_113"	3
"2008_C_114"	3
"2008_C_115"	3
"2008_D_1"	3
"2008_D_2"	3
"2008_D_3"	3
"2008_D_4"	3
"2008_D_5"	3
"2008_D_6"	3
"2008_D_101"	3
"2008_D_102"	2
"2008_D_103"	3
"2008_D_104"	3
"2008_D_105"	3
"2008_D_201"	3
"2008_D_202"	3
"2008_D_203"	1
"2008_D_204"	1
"2008_E_101"	3
"2008_E_102"	3
"2008_F_101"	3
"2008_F_102"	3
"2009_A_1"	2
"2009_A_2"	3
"2009_A_3"	3
"2009_A_4"	3
"2009_A_5"	3
"2009_A_6"	3
"2009_A_7"	2
"2009_A_8"	3
"2009_A_9"	3
"2009_A_101"	3
"2009_A_102"	1
"2009_A_103"	3
"2009_A_201"	3
"2009_A_202"	2
"2009_A_203"	3
"2009_A_204"	3
"2009_A_205"	3
"2009_A_206"	3
"2009_A_207"	3
"2009_B_1"	2
"2009_B_2"	2
"2009_B_3"	3
"2009_B_4"	3
"2009_B_5"	3
"2009_B_6"	3
"2009_B_101"	3
"2009_B_102"	3
"2009_C_1"	3
"2009_C_2"	3
"2009_C_3"	3
"2009_C_4"	3
"2009_C_5"	3
"2009_C_6"	3
"2009_C_7"	2
"2009_C_8"	3
"2009_C_101"	3
"2009_C_102"	3
"2009_C_103"	2
"2009_C_104"	3
"2009_D_1"	3
"2009_D_2"	3
"2009_D_3"	3
"2009_D_4"	3
"2009_D_5"	3
"2009_D_6"	3
"2009_D_7"	3
"2009_D_8"	3
"2009_D_9"	3
"2009_D_10"	3
"2009_D_11"	2
"2009_D_12"	3
"2009_D_101"	3
"2009_D_102"	3
"2009_D_103"	3
"2009_D_104"	3
"2009_D_105"	2
"2009_D_106"	3
"2009_D_107"	3
"2009_D_108"	3
"2009_D_109"	3
"2009_D_110"	3
"2009_D_111"	2
"2009_D_112"	3
"2009_D_113"	3
"2009_E_1"	3
"2009_E_2"	3
"2009_E_3"	3
"2009_E_4"	3
"2009_E_5"	3
"2009_E_6"	3
"2009_E_7"	3
"2009_E_8"	3
"2009_E_9"	3
"2009_G_1"	2
"2009_G_2"	2
"2009_G_3"	3
"2009_G_4"	3
"2009_G_5"	3
"2009_G_6"	2
"2009_G_7"	3
"2009_G_8"	3
"2009_G_9"	3
"2010_A_1"	3
"2010_A_2"	3
"2010_A_3"	3
"2010_A_4"	3
"2010_A_5"	3
"2010_A_6"	3
"2010_A_7"	3
"2010_A_8"	3
"2010_A_9"	3
"2010_A_10"	2
"2010_A_11"	3
"2010_A_12"	3
"2010_A_13"	3
"2010_A_14"	3
"2010_A_15"	3
"2010_A_16"	3
"2010_A_17"	3
"2010_A_18"	3
"2010_A_19"	3
"2010_A_20"	3
"2010_A_21"	3
"2010_A_22"	3
"2010_A_23"	2
"2010_A_24"	3
"2010_A_25"	3
"2010_A_26"	3
"2010_A_27"	3
"2010_A_28"	3
"2010_A_29"	3
"2010_A_30"	3
"2010_A_31"	3
"2010_A_101"	3
"2010_A_102"	3
"2010_A_103"	3
"2010_A_104"	3
"2010_A_105"	2
"2010_A_106"	3
"2010_A_107"	2
"2010_A_108"	3
"2010_A_109"	3
"2010_A_110"	3
"2010_A_111"	3
"2010_A_112"	3
"2010_A_113"	3
"2010_A_114"	3
"2010_A_115"	3
"2010_A_116"	3
"2010_A_117"	3
"2010_B_101"	3
"2010_B_102"	2
"2010_B_103"	3
"2010_B_201"	3
"2010_C_1"	3
"2010_C_2"	3
"2010_C_3"	3
"2010_C_4"	3
"2010_C_5"	3
"2010_C_6"	3
"2010_C_7"	3
"2010_C_8"	3
"2010_C_9"	3
"2010_C_101"	3
"2010_C_102"	3
"2010_C_103"	1
"2010_C_104"	3
"2010_C_105"	3
"2010_C_106"	3
"2010_C_107"	3
"2010_C_108"	3
"2010_C_109"	3
"2010_C_110"	3
"2010_C_111"	3
"2010_C_112"	3
"2010_C_113"	3
"2010_C_114"	2
"2010_C_115"	3
"2010_C_116"	3
"2010_C_117"	2
"2010_C_118"	3
"2010_C_202"	3
"2010_D_1"	3
"2010_D_2"	2
"2010_D_101"	3
"2010_D_102"	3
"2010_D_103"	3
"2010_D_104"	3
"2010_D_105"	3
"2010_E_101"	2
"2010_E_102"	3
"2010_E_103"	3
"2010_E_104"	3
"2010_F_101"	2
"2010_G_1"	3
"2010_G_2"	3
"2010_G_3"	3
"2010_G_4"	3
"2011_A_4"	3
"2011_A_9"	3
"2011_C_2"	3
"2011_C_1"	3
"2011_C_201"	1
"2011_B_2"	3
"2011_A_1"	3
"2011_A_2"	3
"2011_A_11"	3
"2011_A_12"	3
"2011_A_5"	3
"2011_A_8"	3
"2011_A_102"	3
"2011_A_7"	2
"2011_B_1"	3
"2011_A_6"	3
"2011_A_3"	3
"2011_A_13"	3
"2011_A_14"	3
"2011_A_10"	3
"2011_A_104"	3
"2011_D_1"	3
"2011_C_3"	3
"2011_A_103"	3
"2011_A_101"	3
"2011_A_107"	3
"2011_E_4"	1
"2011_A_105"	2
"2011_A_106"	3
"2011_A_201"	3
"2011_A_15"	3
"2011_B_101"	3
"2011_B_201"	3
"2011_B_103"	3
"2011_D_3"	3
"2011_E_7"	3
"2011_E_3"	3
"2011_D_2"	3
"2011_E_6"	2
"2011_A_108"	3
"2011_B_102"	3
"2011_D_6"	3
"2011_D_101"	3
"2011_A_16"	3
"2011_A_17"	3
"2011_D_4"	3
"2011_B_104"	3
"2011_E_1"	3
"2011_B_4"	3
"2011_E_2"	3
"2011_C_4"	3
"2011_E_5"	3
"2011_A_301"	3
"2011_E_8"	3
"2011_A_202"	3
"2011_B_3"	3
"2011_B_5"	3
"2011_B_202"	3
"2011_B_203"	3
"2011_B_301"	3
"2011_C_101"	3
"2011_D_5"	3
"2011_D_7"	3
"2011_D_8"	3
"2011_D_9"	3
"2011_D_102"	3
"2011_D_201"	3
"2011_E_9"	3
"2011_E_10"	3
"2011_A_203"	2
"2012_D_1"	3
"2012_D_2"	3
"2012_G_1"	3
"2012_D_3"	3
"2012_D_4"	3
"2012_D_5"	3
"2012_D_6"	3
"2012_G_2"	3
"2012_G_3"	3
"2012_G_4"	3
"2012_G_5"	3
"2012_G_6"	3
"2012_G_7"	3
"2012_G_8"	3
"2012_G_9"	3
"2012_G_10"	3
"2012_G_11"	3
"2012_G_12"	3
"2012_E_101"	2
"2012_C_101"	3
"2012_B_101"	2
"2012_D_101"	3
"2012_D_102"	3
"2012_G_301"	3
"2012_G_302"	3
"2012_G_303"	3
"2012_G_304"	3
"2012_G_305"	3
"2012_D_301"	2
"2012_C_301"	3
"2012_G_204"	3
"2012_G_202"	3
"2012_G_203"	3
"2012_G_201"	3
