"Phi" "p" "model" "npar" "AICc" "DeltaAICc" "weight" "Deviance" "iter"
"23" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2186.72357777778 36.4629082850738 4.7714641441193e-09 468.3429 44
"43" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2187.9232694927 37.6625999999997 2.61903871765826e-09 467.52032 45
"73" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2190.98999285219 40.7293233594824 5.65212037317709e-10 474.62886 46
"15" "~age * sex" "~age" "Phi(~age * sex)p(~age)" 6 2192.89819285219 42.6375233594822 2.17696294732106e-10 476.53709 47
"63" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2196.17080887656 45.9101393838569 4.23849325987543e-11 481.82633 48
"94" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2265.48026907216 0 0.460017626636211 519.89517 49
"84" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2266.14522307692 0.664954004757874 0.329899415058093 522.58219 50
"114" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2268.08276907216 2.60249999999996 0.12521281473272 522.49767 51
"124" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2270.06699642366 4.58672735149412 0.0464279260063593 522.45707 52
"104" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2271.62055271105 6.14028363888519 0.0213515212076622 530.07679 53
"54" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2273.46956907217 7.98930000000018 0.00847071404143438 527.88442 54
"34" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2273.58712307692 8.10685400475813 0.00798718039010173 530.02405 55
"74" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2279.83355271105 14.3532836388854 0.000351559252361475 538.28973 56
