"Phi" "p" "model" "npar" "AICc" "DeltaAICc" "weight" "Deviance" "iter"
"2495" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10397.8444669757 447.779808109759 0 6209.5896 999
"5495" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10398.3843874333 448.319728567434 0 6206.1161 1000
"1060" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10071.6122920354 0 0.998746991823833 5849.3399 1
"660" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10086.0503810742 14.4380890387711 0.000731584145093712 5877.8753 2
"760" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10087.9995581395 16.3872661041369 0.000276061512441125 5877.8135 3
"860" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10089.0916708537 17.4793788182888 0.000159902995775783 5876.8939 4
"960" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10090.3447198697 18.7324278343094 8.54595228564797e-05 5876.1336 5
"560" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10485.3024572491 413.690165213673 0 6283.1559 6
"360" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10485.6705076637 414.058215628327 0 6287.5378 7
"460" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10486.3160162602 414.703724224766 0 6286.1763 8
"160" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10491.0939308103 419.481638774911 0 6294.9665 9
"260" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10491.9595076637 420.347215628328 0 6293.8264 10
"10120" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10025.433762418 0 0.999728586892167 5806.4731 11
"6120" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10043.530754386 18.0969919679701 0.000117535818335903 5838.669 12
"7120" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10044.6889995321 19.2552371140609 6.58658798506338e-05 5837.8161 13
"8120" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10045.357186052 19.9234236339616 4.71591141250397e-05 5836.4714 14
"9120" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10045.6443146067 20.2105521887479 4.08522955214725e-05 5834.7455 15
"2120" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10362.2966261682 336.862863750232 0 6167.4764 16
"4120" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10362.4241743398 336.990411921804 0 6165.5974 17
"1120" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10363.745015417 338.311252998965 0 6170.9308 18
"3120" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10363.8406261682 338.406863750231 0 6169.0211 19
"5120" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10364.2186605891 338.784898171067 0 6165.3848 20
"10220" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10417.808186864 0 0.985105327085826 6203.1274 21
"8220" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10427.6950840841 9.88689722007075 0.00702376891517615 6223.0888 22
"6220" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10428.9689558993 11.1607690353158 0.00371494565247141 6228.3856 23
"9220" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10429.6570425139 11.8488556498487 0.00263351838621658 6223.0379 24
"7220" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10430.7530554273 12.9448685632378 0.00152243996030951 6228.1586 25
"3220" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10843.6193726937 425.811185829712 0 6653.0778 26
"4220" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10844.2908362168 426.482649352824 0 6651.7427 27
"5220" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10846.2782256576 428.470038793577 0 6651.7229 28
"1220" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10849.4018344478 431.593647583761 0 6660.8658 29
"2220" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10849.8193726937 432.011185829711 0 6659.2776 30
"10320" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9994.24944936231 0 0.717888070757469 5740.6372 31
"7320" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 9997.75918490566 3.50973554335542 0.12414446091734 5756.235 32
"6320" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 9998.68094946947 4.4315001071609 0.0783012535937341 5759.168 33
"8320" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 9999.4086693088 5.15921994649398 0.0544184740837253 5755.8722 34
"9320" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10000.9446033506 6.69515398833209 0.0252477406477313 5755.3948 35
"2320" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10297.4557833255 303.206333963177 0 6067.9855 36
"4320" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10299.4583839812 305.20893461885 0 6067.9816 37
"5320" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10300.6499302545 306.400480892171 0 6067.1651 38
"1320" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10302.2161276195 307.966678257189 0 6074.7515 39
"3320" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10304.2207833255 309.971333963176 0 6074.7507 40
"10420" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10432.9398447604 0 0.999998278649536 6077.5534 41
"6420" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10460.6694395604 27.7295948000628 9.51906404695823e-07 6119.3796 42
"7420" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10462.5694449279 29.6296001674909 3.6814026920042e-07 6119.2686 43
"9420" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10463.7362199313 30.796375170894 2.05424080998445e-07 6116.4106 44
"8420" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10463.8313715071 30.8915267467237 1.95879709196475e-07 6118.5179 45
"5420" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10901.6879444063 468.748099645938 0 6566.4251 46
"3420" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10901.7312087812 468.791364020781 0 6570.482 47
"4420" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10902.9066175663 469.966772805954 0 6569.6515 48
"1420" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10906.2587174211 473.31887266075 0 6577.0157 49
"2420" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10907.4332087812 474.493364020782 0 6576.1839 50
"10510" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10453.1564898841 0 0.999469281099809 6250.1234 51
"9510" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10469.6783895072 16.5218996230906 0.000258276285670881 6274.7057 52
"7510" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10470.2728286039 17.1163387197939 0.00019186851856133 6279.3245 53
"8510" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10472.2216521344 19.0651622503574 7.24139219479206e-05 6279.2615 54
"6510" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10476.5879182932 23.4314284091724 8.16017401076046e-06 6287.6506 55
"2510" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10811.9280433008 358.771553416775 0 6633.0309 56
"4510" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10813.8583968254 360.701906941333 0 6632.9552 57
"5510" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10814.1406604672 360.984170583162 0 6631.2304 58
"1510" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10820.9925992747 367.836109390641 0 6644.1013 59
"3510" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10822.9600433008 369.803553416776 0 6644.0633 60
"666" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 9843.79202669789 0 0.431179806685157 5698.8567 61
"1066" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9844.51175038705 0.719723689158855 0.30086550673357 5685.4778 62
"766" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 9845.67968503162 1.88765833372963 0.167787118000666 5698.7331 63
"866" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 9847.61208584817 3.82005915027912 0.0638473841428746 5698.6533 64
"966" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 9848.74032981017 4.94830311227815 0.0363201844377327 5697.7684 65
"166" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10253.3820318054 409.590005107533 0 6120.4941 66
"366" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10254.6156491228 410.823622424914 0 6119.7225 67
"266" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10255.1676491228 411.375622424914 0 6120.2748 68
"566" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10255.3246999766 411.532673278703 0 6116.4179 69
"466" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10256.3722049602 412.580178262331 0 6119.4729 70
"1076" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10282.2834898841 0 0.999999933665677 6034.7959 71
"676" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10316.4949182932 34.2114284091713 3.72462610773902e-08 6083.1028 72
"776" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10317.8848286039 35.6013387197945 1.85894908079393e-08 6082.4825 73
"876" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10319.7596521344 37.4761622503574 7.28039155240569e-09 6082.3449 74
"976" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10321.3923895072 39.1088996230901 3.21817992500863e-09 6081.965 75
"376" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10769.7140433008 487.430553416774 0 6546.3631 76
"476" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10771.6653968254 489.381906941331 0 6546.3085 77
"176" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10773.0545992747 490.77110939064 0 6551.7091 78
"576" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10773.4626604672 491.179170583162 0 6546.0981 79
"276" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10775.0380433008 492.754553416775 0 6551.6875 80
"1086" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10187.3642827163 0 0.998230282253667 5959.5286 81
"686" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10201.2481468927 13.8838641763141 0.000964690364705509 5987.512 82
"786" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10202.5034636214 15.1391809050401 0.000514990688489541 5986.7559 83
"886" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10204.2967277438 16.932445027418 0.00021008595546461 5986.5368 84
"986" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10206.2289399293 18.8646572129874 7.99507376735798e-05 5986.4562 85
"186" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10552.9901043724 365.625821656016 0 6351.3016 86
"386" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10554.9677507642 367.603468047826 0 6351.2742 87
"286" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10554.9897507642 367.625468047825 0 6351.2957 88
"486" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10556.9673405456 369.603057829287 0 6351.2669 89
"586" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10557.2558743825 369.891591666157 0 6349.5482 90
"1096" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9650.24391408451 0 0.99999999999637 5431.5991 91
"896" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 9704.01633218164 53.7724180971309 2.10604560307579e-12 5495.4507 92
"996" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 9705.91307810417 55.6691640196641 8.15820524310842e-13 5495.3337 93
"796" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 9706.5433800148 56.2994659302967 5.95286873541216e-13 5499.9906 94
"696" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 9709.86752086828 59.6236067837708 1.12953135547679e-13 5505.3266 95
"296" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 9947.0200947524 296.776180667895 0 5752.5236 96
"496" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 9947.20629980286 296.962385718352 0 5750.7029 97
"596" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 9949.15039420754 298.906480123036 0 5750.6392 98
"396" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 9954.5058947524 304.261980667894 0 5760.0095 99
"196" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 9954.65027832512 304.406364240616 0 5762.1597 100
"10106" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10178.3706638831 0 0.930736159025256 5860.5648 101
"8106" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10185.2683373494 6.89767346630651 0.0295812024937515 5877.5367 102
"6106" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10186.6571394164 8.28647553330666 0.0147720676296595 5882.9484 103
"9106" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10186.9113348783 8.54067099524218 0.0130089859324102 5877.1663 104
"7106" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10187.0892724114 8.7186085283065 0.0119015849189224 5881.3693 105
"4106" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10550.2359139287 371.865250045646 0 6254.5627 106
"3106" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10550.6624309507 372.291767067638 0 6256.9959 107
"2106" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10551.3994309507 373.028767067637 0 6257.7331 108
"1106" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10552.1988760407 373.828212157612 0 6260.5378 109
"5106" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10552.2423256191 373.871661735981 0 6254.5614 110
"101110" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9830.42577308782 0 0.999993290963169 5664.0752 111
"81110" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 9855.27712881396 24.8513557261394 4.01415147299866e-06 5699.0022 112
"91110" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 9857.01625660377 26.5904835159545 1.68246855166169e-06 5698.7281 113
"61110" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 9858.66632012727 28.2405470394497 7.3729317496835e-07 5706.415 114
"71110" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 9860.63785021216 30.2120771243444 2.75123631495401e-07 5706.3752 115
"31110" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10215.8907740113 385.465000923479 0 6073.6824 116
"41110" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10217.8833715564 387.457598468573 0 6073.6682 117
"51110" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10219.5819142723 389.156141184438 0 6073.3591 118
"11110" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10225.7921209696 395.36634788182 0 6085.5885 119
"21110" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10227.7967740113 397.37100092348 0 6085.5881 120
"10126" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10383.6037490775 0 0.999882902322713 6042.0554 121
"7126" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10402.8608562874 19.2571072099345 6.58144782593097e-05 6073.3982 122
"8126" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10404.8048516471 21.2011025695956 2.48993617007165e-05 6073.3296 123
"6126" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10405.5467874741 21.9430383966064 1.71822049981433e-05 6078.0947 124
"9126" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10406.7957741935 23.1920251160591 9.20163232917561e-06 6073.3081 125
"2126" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10709.8613192272 326.257570149741 0 6392.4508 126
"4126" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10711.3117648953 327.70801581784 0 6391.8951 127
"5126" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10712.5531339162 328.949384838754 0 6391.1287 128
"1126" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10716.272796275 332.669047197514 0 6400.8681 129
"3126" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10717.7583192272 334.15457014974 0 6400.3484 130
"10136" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9943.57383843998 0 0.999381912668762 5905.7964 131
"8136" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 9959.45470786098 15.8808694209947 0.000355831594239988 5931.752 132
"9136" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 9960.0959934671 16.5221550271199 0.000258220731081711 5930.3803 133
"6136" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 9969.75545280951 26.1816143695323 2.06284293056876e-06 5946.0761 134
"7136" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 9969.84536119403 26.2715227540484 1.97216298530496e-06 5944.1548 135
"4136" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10336.7470889821 393.173250542082 0 6321.1035 136
"3136" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10336.8055621798 393.231723739806 0 6323.1684 137
"5136" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10338.5375507922 394.963712352192 0 6320.8866 138
"2136" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10342.7125621798 399.138723739805 0 6329.075 139
"1136" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10342.8669697322 399.293131292265 0 6331.2356 140
"10146" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9969.22566870877 0 0.999986632592579 5743.2846 141
"7146" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 9993.56971176471 24.3440430559403 5.17311831549815e-06 5779.7164 142
"8146" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 9994.41586721582 25.190198507049 3.38853588897609e-06 5778.5503 143
"9146" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 9994.9899700565 25.7643013477318 2.54300516270624e-06 5777.1112 144
"6146" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 9995.22350303458 25.9978343258135 2.26274805366384e-06 5783.3815 145
"5146" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10363.0368504937 393.811181784888 0 6157.2229 146
"4146" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10363.0753219741 393.849653265383 0 6159.2689 147
"3146" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10363.4357368421 394.210068133338 0 6161.6365 148
"2146" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10369.3217368421 400.096068133338 0 6167.5221 149
"1146" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10369.7180944327 400.492425723933 0 6169.9245 150
"10156" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10450.7707769784 0 0.99999992299201 6100.2944 151
"8156" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10484.9197426454 34.1489656669892 3.84278680344912e-08 6144.5144 152
"9156" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10486.5023396226 35.7315626442232 1.74176565823683e-08 6144.0849 153
"7156" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10487.1610493938 36.3902724153868 1.25300474053029e-08 6148.768 154
"6156" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10487.9062592593 37.1354822808407 8.6324177260722e-09 6151.5237 155
"4156" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10977.8121177394 527.041340760987 0 6649.4642 156
"5156" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10979.8093014805 529.038524502068 0 6649.4542 157
"3156" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10982.1788340807 531.408057102301 0 6655.8373 158
"2156" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10989.4188340807 538.6480571023 0 6663.0767 159
"1156" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10993.0174498991 542.24667292071 0 6668.6805 160
"10166" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10305.6323486259 0 0.999766206725724 6029.634 161
"7166" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10323.4397643457 17.8074157197207 0.00013585238305044 6059.5255 162
"8166" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10325.4335771325 19.8012285065506 5.01321482571623e-05 6059.5076 163
"9166" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10325.6753029272 20.0429543012233 4.44248761745358e-05 6057.7372 164
"6166" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10330.8248639456 25.1925153196407 3.38386679414106e-06 6068.9218 165
"4166" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10774.2503738106 468.618025184665 0 6520.3814 166
"5166" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10774.2636308634 468.63128223742 0 6518.388 167
"2166" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10776.7660260476 471.133677421627 0 6524.9039 168
"3166" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10784.9720260476 479.339677421627 0 6533.11 169
"1166" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10787.3505869565 481.718238330584 0 6537.494 170
"10176" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9758.89104173683 0 0.999997650943397 5534.3342 171
"6176" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 9786.77620057637 27.8851588395391 8.80670957023838e-07 5576.3205 172
"8176" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 9787.55945795291 28.6684162160782 5.95293987314996e-07 5573.0797 173
"7176" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 9787.57554595244 28.6845042156074 5.90524650609839e-07 5575.1084 174
"9176" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 9789.04973727469 30.1586955378643 2.82567008009846e-07 5572.5566 175
"1176" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10206.1073884892 447.216346752381 0 6007.7009 176
"2176" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10206.2991487167 447.408106979889 0 6005.8868 177
