"Phi" "p" "model" "npar" "AICc" "DeltaAICc" "weight" "Deviance" "iter"
"64" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10102.3369727397 46.0853413403474 9.83320921680435e-11 5974.8585 42
"74" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10103.6858929789 47.4342615795522 5.00934532535168e-11 5974.197 43
"84" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10105.0717272727 48.8200958734105 2.50524888789537e-11 5973.5713 44
"94" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10107.0764762446 50.824844845285 9.1944376054574e-12 5973.5632 45
"14" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10430.3526116152 374.100980215928 0 6314.9206 46
"34" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10431.9080605854 375.656429186114 0 6314.4705 47
"24" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10432.2680605854 376.016429186115 0 6314.8313 48
"44" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10433.819419882 377.567788482662 0 6314.3759 49
"54" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10435.5176901249 379.266058725541 0 6314.0667 50
"105" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9776.07454378781 0 0.999999233568347 5556.3871 51
"95" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 9804.27402900976 28.1994852219541 7.52591406394208e-07 5592.6482 52
"85" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 9812.52509214502 36.4505483572066 1.21580425844987e-08 5602.9122 53
"75" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 9816.61319070632 40.5386469185105 1.57450606136475e-09 5609.0124 54
"65" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 9821.97792404181 45.9033802540034 1.07697914768602e-10 5616.3883 55
"55" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10290.1094261838 514.034882396034 0 6090.548 56
"45" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10296.5099921095 520.43544832173 0 6098.9559 57
"25" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10303.0594895592 526.984945771357 0 6107.5116 58
"35" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10307.4254895592 531.350945771357 0 6111.8775 59
"15" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10315.2509178845 539.176374096673 0 6121.7084 60
"106" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9555.8442021645 0 0.999255460883954 5478.0492 61
"96" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 9570.30481302259 14.4606108580829 0.000723760337838513 5500.5734 62
"86" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 9577.59333694451 21.7491347800096 1.89195986715664e-05 5509.8754 63
"66" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 9582.85758535414 27.0133831896401 1.36080188419461e-06 5519.1637 64
"76" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 9584.86652795389 29.0223257893886 4.98377651425679e-07 5519.1611 65
"56" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10061.5685489443 505.724346779834 0 6003.9036 66
"36" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10063.8411438849 507.99694172039 0 6010.19 67
"46" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10065.4288649556 509.584662791123 0 6009.7718 68
"16" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10068.6113850396 512.767182875055 0 6016.9661 69
"26" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10070.2771438849 514.43294172039 0 6016.6266 70
"107" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10145.5133699931 0 0.998957497107894 5809.8923 71
"67" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10161.3350263523 15.8216563592341 0.00036636838063076 5839.8115 72
