"sex_age" "estimate" "iter"
"1" "Female_Adult" 0.698846 1
"2" "Male_Adult" 0.7097699 1
"3" "Female_Fledgling" 0.1172203 1
"4" "Male_Fledgling" 0.2214698 1
"5" "Female_Chick" 0.497777157419653 1
"6" "Male_Chick" 0.51511634649248 1
"7" "Female_Adult" 0.6877465 2
"8" "Male_Adult" 0.6733004 2
"9" "Female_Fledgling" 0.1609494 2
"10" "Male_Fledgling" 0.2264919 2
"11" "Female_Chick" 0.427389639473977 2
"12" "Male_Chick" 0.53258937075528 2
